loan_amount,repaid_amount,days,number_of_loans,Bucket
236,236,0,2,Active
2654,3626,364,2,Write Off
888,888,0,4,Active
2000,3258,14,4,Active
365,365,0,4,Active
1050,1050,0,5,Active
710,710,0,5,Active
1000,1108,49,5,Default
236,2074,140,5,Write Off
1330,1330,0,8,Active
365,365,0,8,Active
1050,1050,0,8,Active
1835,2168,14,8,Active
550,2768,14,8,Active
1000,1000,0,8,Active
2250,2939,14,8,Active
365,365,0,2,Active
660,660,0,6,Active
1365,1365,0,6,Active
365,365,0,6,Active
2050,2050,0,6,Active
2000,2000,0,6,Active
1300,1300,0,6,Active
1000,1000,0,6,Active
2050,2050,0,6,Active
1050,1050,0,6,Active
1365,1365,0,6,Active
2194,2194,0,18,Active
2032,2480,7,18,Active
2380,2380,0,18,Active
1993,1993,0,18,Active
0,0,0,18,Active
2302,2302,0,18,Active
230,650,7,18,Active
1150,2567,28,18,Active
2850,2850,0,18,Active
4868,7045,21,18,Active
2500,2500,0,18,Active
2740,8341,14,18,Active
2450,2450,0,18,Active
5268,8685,28,18,Active
2550,2550,0,18,Active
131,131,98,18,Write Off
3412,3412,0,18,Active
41,41,0,12,Active
690,1547,14,12,Active
2131,2131,0,12,Active
4539,4539,0,12,Active
748,2144,21,12,Active
2500,4265,7,12,Active
487,487,0,12,Active
3178,3673,28,12,Active
4230,9671,28,12,Active
2912,2912,0,12,Active
57,57,7,12,Active
236,236,0,3,Active
1250,1250,0,3,Active
1350,1350,0,8,Active
2550,2550,0,8,Active
1550,1550,0,8,Active
1750,1750,0,8,Active
2540,2540,35,8,Default
365,365,0,8,Active
1000,1000,0,8,Active
365,365,0,2,Active
365,0,7,2,Active
365,365,0,7,Active
150,150,0,7,Active
300,300,0,7,Active
473,473,0,7,Active
275,275,0,7,Active
301,301,0,7,Active
236,0,28,2,Active
36,36,0,2,Active
365,365,14,2,Active
2230,0,357,1,Write Off
365,365,0,3,Active
2050,2050,14,3,Active
1548,1548,0,9,Active
365,365,14,9,Active
955,955,0,9,Active
250,250,0,9,Active
1243,1243,0,9,Active
750,750,0,9,Active
1549,1549,0,9,Active
216,216,0,9,Active
3015,4763,7,8,Active
3472,4432,7,8,Active
4487,4487,0,8,Active
236,1123,63,8,Default
230,230,0,8,Active
1362,1362,0,8,Active
2654,2654,0,8,Active
365,365,0,5,Active
1025,1025,0,5,Active
707,707,0,5,Active
2300,4142,14,5,Active
1050,3253,14,4,Active
365,365,0,4,Active
96,96,35,4,Default
236,0,0,4,Active
236,236,119,4,Write Off
36,36,0,4,Active
814,814,0,4,Active
1550,1550,0,4,Active
236,236,0,4,Active
850,850,0,4,Active
1000,1000,0,6,Active
2050,2050,0,6,Active
1550,1550,0,6,Active
365,365,0,6,Active
2550,2550,0,6,Active
3230,3689,259,6,Write Off
230,230,0,6,Active
1115,1115,0,6,Active
395,395,0,6,Active
0,0,0,6,Active
500,1408,28,4,Active
316,316,14,4,Active
365,365,0,4,Active
1300,1300,0,7,Active
1000,2185,35,7,Default
113,113,0,7,Active
1350,1350,0,7,Active
0,0,0,7,Active
365,365,0,7,Active
3615,3615,0,13,Active
3522,3522,0,13,Active
2174,2174,0,13,Active
4893,10614,14,13,Active
3115,5601,7,13,Active
5078,5078,0,13,Active
2743,4471,21,13,Active
2120,3947,77,13,Default
2365,2365,147,13,Write Off
2615,2615,0,13,Active
230,230,0,13,Active
1500,1500,0,13,Active
4560,4560,0,26,Active
3633,3633,0,26,Active
3383,3383,0,26,Active
2300,2300,0,26,Active
3587,3587,0,26,Active
2500,3177,7,26,Active
2550,2550,0,26,Active
2050,2050,0,26,Active
57,3725,14,26,Active
2550,4031,7,26,Active
2550,2550,0,26,Active
2550,2550,0,26,Active
1300,1300,0,26,Active
2550,2550,0,26,Active
3648,5164,7,26,Active
2300,2300,0,26,Active
2550,5416,14,26,Active
2600,6650,7,26,Active
1872,1872,0,26,Active
2492,2492,0,26,Active
230,230,0,26,Active
5100,5100,0,26,Active
1983,1983,0,26,Active
1250,1250,0,26,Active
2418,2418,0,26,Active
2550,2550,0,7,Active
2550,2550,0,7,Active
2400,2400,0,7,Active
2550,2550,0,7,Active
236,236,0,7,Active
1000,1000,0,7,Active
700,700,0,13,Active
1618,1618,0,13,Active
2573,2573,14,13,Active
236,236,0,13,Active
1680,1680,0,13,Active
1300,1300,0,13,Active
1699,1699,0,13,Active
2144,2144,21,13,Active
100,100,0,13,Active
1200,1200,0,13,Active
50,50,0,13,Active
100,100,0,13,Active
365,365,0,5,Active
642,642,0,5,Active
1565,1565,0,5,Active
1339,1339,0,5,Active
1650,1650,0,9,Active
2550,2550,0,9,Active
2550,2550,0,9,Active
2500,2500,0,9,Active
2550,2550,0,9,Active
865,865,0,9,Active
2550,2550,0,9,Active
2550,2550,0,9,Active
3463,4307,154,23,Write Off
3070,3070,0,23,Active
3395,7168,14,23,Active
3673,3673,0,23,Active
4041,4041,0,23,Active
1965,1965,0,23,Active
1442,1442,0,23,Active
4338,4338,0,23,Active
1639,1639,0,23,Active
1524,1524,0,23,Active
4573,4573,0,23,Active
3715,3715,0,23,Active
3610,3610,0,23,Active
2715,2715,0,23,Active
2103,2103,0,23,Active
615,615,0,23,Active
1730,1730,0,23,Active
3750,3750,0,23,Active
6140,6140,0,23,Active
4215,4215,0,23,Active
4029,4029,0,23,Active
2897,2897,0,23,Active
920,920,0,8,Active
970,970,0,8,Active
1250,1250,0,8,Active
1240,1794,21,8,Active
1590,1590,0,8,Active
365,365,0,8,Active
670,670,0,8,Active
236,236,0,2,Active
2050,2050,0,4,Active
865,530,14,4,Active
332,332,0,4,Active
2550,2550,7,4,Active
1550,1550,0,6,Active
365,365,0,6,Active
1500,1500,0,6,Active
1000,1000,0,6,Active
1050,1050,0,6,Active
365,365,0,8,Active
1950,1950,0,8,Active
2250,2250,0,8,Active
1300,1300,0,8,Active
350,350,0,8,Active
1775,1775,0,8,Active
1050,1050,0,8,Active
365,365,0,4,Active
365,365,0,4,Active
750,750,0,4,Active
1550,1550,0,5,Active
2050,2050,0,5,Active
236,236,21,5,Active
850,850,0,5,Active
2950,2950,0,11,Active
1700,1700,0,11,Active
1050,1050,0,11,Active
1550,2135,7,11,Active
2450,2450,0,11,Active
236,236,0,11,Active
850,850,0,11,Active
1789,1789,0,11,Active
1025,1025,0,11,Active
1550,1550,0,11,Active
500,705,21,6,Active
365,365,0,6,Active
1300,1300,14,6,Active
1344,1344,7,6,Active
1800,1800,0,6,Active
210,210,0,3,Active
36,2475,14,3,Active
1050,1050,0,7,Active
1550,1550,35,7,Default
1050,1050,0,7,Active
500,500,0,7,Active
850,850,0,7,Active
236,236,7,7,Active
365,365,0,2,Active
4465,4465,0,14,Active
1350,1350,0,14,Active
3743,3743,7,14,Active
3869,4275,56,14,Default
5200,5200,0,14,Active
1800,1800,7,14,Active
2472,3351,14,14,Active
1950,1950,0,14,Active
5115,8102,21,14,Active
2615,6943,28,14,Active
3028,3028,0,14,Active
2143,2143,21,14,Active
2600,4926,84,14,Default
2355,2970,14,14,Active
365,365,0,5,Active
1025,1025,0,5,Active
2050,2050,0,5,Active
1550,1550,0,5,Active
365,138,7,1,Active
365,365,0,2,Active
3923,3923,0,11,Active
230,230,0,11,Active
57,57,0,11,Active
57,57,0,11,Active
1115,1115,0,11,Active
4828,4828,0,11,Active
3115,3115,0,11,Active
1098,1098,0,11,Active
3305,3305,0,11,Active
5070,5070,0,11,Active
365,365,0,4,Active
1025,1025,0,4,Active
1550,1610,7,4,Active
236,236,0,8,Active
1000,1000,0,8,Active
950,950,0,8,Active
1750,3816,42,8,Default
1550,1550,7,8,Active
2050,2050,0,8,Active
850,850,0,8,Active
230,0,343,1,Write Off
4615,4615,0,20,Active
2550,2550,133,20,Write Off
5990,5990,0,20,Active
5095,10197,21,20,Active
2679,2679,0,20,Active
5115,5115,0,20,Active
2646,2646,0,20,Active
3834,18928,28,20,Active
5340,5340,0,20,Active
6036,34681,49,20,Default
4575,4575,0,20,Active
5115,5115,0,20,Active
4915,4915,0,20,Active
4635,4635,0,20,Active
3115,3115,0,20,Active
5890,5890,0,20,Active
1205,2519,7,20,Active
4990,4990,0,20,Active
6085,6085,0,20,Active
2050,2050,0,6,Active
1364,1364,0,6,Active
2550,2550,0,6,Active
365,365,0,6,Active
1385,1385,0,6,Active
236,1372,14,4,Active
1013,2211,14,4,Active
513,513,189,4,Write Off
2500,2500,0,4,Active
36,36,14,4,Active
250,250,0,4,Active
1694,1694,14,3,Active
1245,4739,343,3,Write Off
318,543,49,3,Default
365,365,0,3,Active
2550,2550,0,10,Active
2550,2550,0,10,Active
236,236,0,10,Active
388,388,0,10,Active
2100,2100,0,10,Active
1050,1050,0,10,Active
1050,1050,0,10,Active
2550,2550,0,10,Active
893,893,0,10,Active
230,780,280,2,Write Off
365,240,14,1,Active
365,365,0,5,Active
560,560,0,5,Active
656,1145,21,5,Active
2250,4144,7,5,Active
1000,1000,0,4,Active
365,365,0,4,Active
650,650,0,4,Active
236,0,0,2,Active
86,86,0,2,Active
1550,1550,0,23,Active
2550,2550,0,23,Active
2850,2850,0,23,Active
1600,1600,0,23,Active
1300,1300,21,23,Active
1496,1496,0,23,Active
1330,3467,35,23,Default
3100,3100,0,23,Active
2000,2000,0,23,Active
649,649,7,23,Active
1550,1550,0,23,Active
1675,1675,0,23,Active
1500,1500,0,23,Active
2400,4300,7,23,Active
2050,2050,0,23,Active
2550,2550,7,23,Active
1950,1950,0,23,Active
1300,1300,0,23,Active
550,550,0,23,Active
1621,1621,0,23,Active
2500,2500,0,23,Active
2600,2600,0,23,Active
1542,1542,0,9,Active
5030,9797,154,9,Write Off
4380,4380,0,9,Active
3214,3358,7,9,Active
2500,2500,0,9,Active
50,50,0,9,Active
3231,3231,7,9,Active
230,230,0,9,Active
730,730,0,2,Active
365,0,0,2,Active
1000,1000,0,4,Active
365,365,0,4,Active
365,0,0,4,Active
1050,1050,0,4,Active
365,365,0,2,Active
365,1267,84,2,Default
2550,2550,0,21,Active
2050,2050,0,21,Active
3615,3615,0,21,Active
4115,4115,0,21,Active
3618,3618,7,21,Active
3600,3600,0,21,Active
230,0,14,21,Active
1350,1350,0,21,Active
1017,1017,0,21,Active
2118,2118,0,21,Active
1550,1550,0,21,Active
1960,1960,0,21,Active
3162,4207,7,21,Active
4100,4100,0,21,Active
2100,2100,0,21,Active
2500,2500,0,21,Active
500,500,0,21,Active
2545,2545,0,21,Active
4121,4121,0,21,Active
2615,2615,0,21,Active
4100,6478,7,21,Active
1500,1500,0,10,Active
948,948,0,10,Active
250,250,0,10,Active
900,951,14,10,Active
236,236,0,10,Active
2550,2550,0,10,Active
1000,1000,0,10,Active
902,902,0,10,Active
1980,2977,21,10,Active
1550,1550,0,4,Active
236,236,0,4,Active
850,850,0,4,Active
365,379,42,2,Default
1300,1300,0,8,Active
950,950,0,8,Active
43,43,0,8,Active
365,1371,7,8,Active
175,175,0,8,Active
500,500,0,8,Active
1850,1850,0,8,Active
2600,4650,35,6,Default
230,230,7,6,Active
199,199,0,6,Active
173,173,0,6,Active
2615,7423,238,6,Write Off
365,0,0,1,Active
5671,5671,0,19,Active
4001,8042,7,19,Active
1100,1100,0,19,Active
230,230,0,19,Active
4000,6426,7,19,Active
5075,5075,0,19,Active
4688,4688,0,19,Active
2641,2641,0,19,Active
1960,1960,0,19,Active
1122,1321,203,19,Write Off
1892,1892,0,19,Active
5415,5415,0,19,Active
4420,5580,7,19,Active
2780,2780,0,19,Active
2598,2598,0,19,Active
2500,2500,0,19,Active
6780,6780,0,19,Active
4506,4506,0,19,Active
365,365,0,3,Active
365,365,0,3,Active
2675,2675,0,14,Active
230,0,7,14,Active
3372,3372,0,14,Active
822,853,133,14,Write Off
1615,2972,7,14,Active
1615,4850,21,14,Active
230,230,7,14,Active
2175,5471,21,14,Active
1729,1729,7,14,Active
236,236,0,14,Active
3132,6656,7,14,Active
3175,3175,0,14,Active
1050,1527,42,14,Default
2615,2615,0,14,Active
365,365,0,2,Active
1743,1743,0,11,Active
580,580,0,11,Active
365,365,0,11,Active
